class	acts upstream of or within	adjacent to	bearer of	capable of	capable of part of	causal agent in process	causal relation between entities	causal relation between material entity and a process	causally influenced by	causally related to	composed primarily of	contained in	contains process	continuous with	derives from	derives from part of	derives into	determined by	determined by part of	device utilizes material	formed as result of	functionally related to	generates	has characteristic	has component	has function	has increased levels of	has part	has quality	has role	http://www.w3.org/2000/01/rdf-schema#subClassOf	involved in	involved in or involved in regulation of	located in	location of	mereotopologically related to	obsolete contained in	output of	overlaps	part of	part of structure that is capable of	partially overlaps	partially surrounded by	participates in	spatially disjoint from	surrounded by
ENVO_03000108																						precipitation process|snowfall|hydrological precipitation process						crystal|water ice crystal|snow crystal			snow|slab snow					water ice crystal|crystal|snow crystal		precipitation process|hydrological precipitation process|snowfall	crystal|water ice crystal|snow crystal					precipitation process|snowfall|hydrological precipitation process		
ENVO_03000110																															cryoform															
ENVO_03000117																															channel															
ENVO_03000118		ice mass|cryoform|troposphere																			melting|hydrological melting process|icemelt	melting|icemelt|hydrological melting process						meltwater			atmosphere and water column exposed melt pond|melt pond					ice mass|cryoform|troposphere|meltwater		melting|hydrological melting process|icemelt	meltwater					melting|icemelt|hydrological melting process	ice mass|cryoform|troposphere	
ENVO_03000119		ice mass|cryoform																			melting|hydrological melting process|icemelt	melting|icemelt|hydrological melting process						meltwater			water column exposed melt pond|melt pond					ice mass|cryoform|meltwater		melting|hydrological melting process|icemelt	meltwater					melting|icemelt|hydrological melting process	ice mass|cryoform	
ENVO_03000120		glacier|mass of compounded environmental materials									meltwater										glacial process|glacial erosion process	glacial process|glacial erosion process						meltwater			glacial lake|subglacial lake|ice-covered lake					glacier|mass of compounded environmental materials|meltwater		glacial process|glacial erosion process	meltwater					glacial process|glacial erosion process	glacier|mass of compounded environmental materials	
ENVO_03000132	thermolysis|aerosol formation process|combustion process|land fire|wildfire|conflagration|fire	woodland area				thermolysis|aerosol formation process|combustion process|land fire|conflagration|wildfire|fire		thermolysis|aerosol formation process|combustion process|land fire|conflagration|wildfire|fire		thermolysis|aerosol formation process|combustion process|land fire|conflagration|wildfire|fire												thermolysis|aerosol formation process|combustion process|land fire|wildfire|conflagration|fire									field|woodland clearing|firebreak		thermolysis|aerosol formation process|combustion process|land fire|conflagration|wildfire|fire			woodland area									woodland area	woodland area
ENVO_03000133																															agricultural environmental material|agricultural potting mixture															
ENVO_03000137				material congelation process|water ice formation process	material congelation process|water ice formation process	material congelation process|water ice formation process		material congelation process|water ice formation process		material congelation process|water ice formation process												condensation process|material congelation process|water ice formation process									aerosol|aerosolised liquids|fog|atmospheric aerosol|freezing fog							condensation process|material congelation process						condensation process|material congelation process		
ENVO_03000139																						condensation process|material congelation process									aerosol|aerosolised liquids|fog|atmospheric aerosol|aerosolised solids|ice fog							condensation process|material congelation process						condensation process|material congelation process		
ENVO_03000141											snow																	snow|crystal|water ice crystal|snow crystal			cryospheric layer|snow layer					cryosphere|snow|water ice crystal|crystal|snow crystal			cryosphere|snow|crystal|water ice crystal|snow crystal	cryosphere						
ENVO_03000143																															cryosphere															
ENVO_03000144																															cryosphere|planetary cryosphere															
ENVO_03000145																															snow-covered land															
ENVO_03400001			alpine|altitudinal condition|tundra climatic condition																					alpine|altitudinal condition|tundra climatic condition					alpine|altitudinal condition|tundra climatic condition		area of tundra|area of alpine tundra					tundra biome|tundra ecosystem|ecotone|tree line ecotone			tundra biome|tundra ecosystem|ecotone|tree line ecotone	tundra biome|tundra ecosystem		ecotone|tree line ecotone				
ENVO_03400002			polar|tundra climatic condition																					tundra climatic condition|polar					polar|tundra climatic condition		area of tundra|area of polar tundra					tundra biome|tundra ecosystem|ecotone|tree line ecotone			tundra biome|tundra ecosystem|ecotone|tree line ecotone	tundra biome|tundra ecosystem		ecotone|tree line ecotone				
ENVO_03400016																												ice surface layer			fiat part of an astronomical object|area of ice cover					ice surface layer			ice surface layer							
ENVO_03500001																															anthropogenic geographic feature|park|playground															
ENVO_03500002																															anthropogenic geographic feature|park|public park															
ENVO_03500003																															sports facility|public sports field													usage of an environment for recreation		
ENVO_03500004																															transport feature|constructed pavement|bike path													usage of an environment for transportation		
ENVO_03500006																															food desert															
ENVO_03500007																															noisy environment															
ENVO_03500008																															safe environment for human presence|safe environment for living organisms|safe environment															
ENVO_03500009																															attractive environment															
ENVO_03500010																															shady environment															
ENVO_03500011																															violent environment															
ENVO_03501100																															vehicle|boat|watercraft|ferry|merchant vessel|transport boat															
ENVO_03501101																															outdoor environment															
ENVO_03501102																															industrial building|polytunnel													usage of an environment for industry		
ENVO_03501103																												motor			vehicle|motor vehicle|ambulance					motor			motor							
ENVO_03501104																															vehicle|boat|watercraft|recreational cruise ship															
ENVO_03501105																															vehicle|boat|watercraft|merchant vessel|transport boat															
ENVO_03501107																															vehicle|train															
ENVO_03501108																															vehicle|train|passenger train															
ENVO_03501109																															vehicle|train|passenger train|subway train					public infrastructure|constructed transport system|public transit system|rapid transit system			public infrastructure|constructed transport system|public transit system|rapid transit system	public infrastructure|rapid transit system|constructed transport system|public transit system						
ENVO_03501110																															constructed transport system															
ENVO_03501111																															constructed transport system|public transit system					public infrastructure			public infrastructure	public infrastructure				usage of an environment for community and social services		
ENVO_03501112																												motor			vehicle|motor vehicle|bus|public bus					motor			motor							
ENVO_03501113																															vehicle|boat|watercraft|ferry|merchant vessel|public ferry|transport boat															
ENVO_03501114																															vehicle|train|public train															
ENVO_03501115																															vehicle|train|passenger train|subway train|public subway train					public infrastructure|constructed transport system|public transit system|rapid transit system			public infrastructure|constructed transport system|public transit system|rapid transit system	public infrastructure|constructed transport system|public transit system|rapid transit system						
ENVO_03501116																															rapid transit system|constructed transport system|public transit system					public infrastructure			public infrastructure	public infrastructure				usage of an environment for community and social services		
ENVO_03501117																															transport hub															
ENVO_03501118																															transport hub|public transport hub					public infrastructure			public infrastructure	public infrastructure						
ENVO_03501119																															research facility|research station|agricultural experimental station															
ENVO_03501120																															farm|agricultural ecosystem|dairy farm															
ENVO_03501121																															building corridor															
ENVO_03501122																															airport															
ENVO_03501123																															industrial building|airport terminal					airport			airport	airport				usage of an environment for industry		
ENVO_03501124																															industrial building|airport concourse					industrial building|airport|airport terminal			industrial building|airport|airport terminal	industrial building|airport|airport terminal				usage of an environment for industry		
ENVO_03501125																															room|airport transit lounge					industrial building|airport|airport terminal			industrial building|airport|airport terminal	industrial building|airport|airport terminal						
ENVO_03501126																															church building															
ENVO_03501127																															conference venue															
ENVO_03501128																															room|conference room					conference venue			conference venue	conference venue						
ENVO_03501129																															educational facility															
ENVO_03501130																															educational facility|school building															
ENVO_03501131																															university building|institutional building					university campus|educational facility			university campus|educational facility	university campus|educational facility						
ENVO_03501132																															fire station|institutional building															
ENVO_03501133																															homeless shelter|institutional building															
ENVO_03501135																															acute care facility															
ENVO_03501136																															clinical patient assessment facility															
ENVO_03501137																															hospital unit facility															
ENVO_03501138																															hospital unit facility|anaesthetics unit facility															
ENVO_03501139																															hospital unit facility|breast screening unit facility															
ENVO_03501140																															hospital unit facility|chaplaincy unit facility															
ENVO_03501141																															hospital unit facility|coronary care unit facility															
ENVO_03501142																															hospital unit facility|diagnostic imaging unit facility															
ENVO_03501143																															hospital unit facility|discharge unit facility															
ENVO_03501144																															hospital unit facility|emergency unit facility															
ENVO_03501145																															room|emergency unit room					hospital unit facility|emergency unit facility			hospital unit facility|emergency unit facility	hospital unit facility|emergency unit facility						
ENVO_03501146																															hospital unit facility|gastroenterology unit facility															
ENVO_03501147																															hospital unit facility|general surgery unit facility															
ENVO_03501148																															hospital unit facility|geriatric care unit facility															
ENVO_03501149																															intensive care unit facility|hospital unit facility|geriatric intensive care unit facility															
ENVO_03501150																															hospital unit facility|gynaecology unit facility															
ENVO_03501151																															hospital unit facility|haematology unit facility															
ENVO_03501152																															intensive care unit facility|hospital unit facility															
ENVO_03501153																															intensive care unit facility|hospital unit facility|surgical intensive care unit facility															
ENVO_03501154																															intensive care unit facility|hospital unit facility|traumatic intensive care unit facility															
ENVO_03501155																															room|intensive care unit room					hospital unit facility|intensive care unit facility			hospital unit facility|intensive care unit facility	hospital unit facility|intensive care unit facility						
ENVO_03501156																															hospital unit facility|maternity unit facility															
ENVO_03501157																												motor			vehicle|motor vehicle|ambulance|mobile intensive care ambulance					motor			motor							
ENVO_03501158																															hospital unit facility|micobiology unit facility															
ENVO_03501159																															hospital unit facility|neonatal unit facility															
ENVO_03501160																															intensive care unit facility|hospital unit facility|neonatal intensive care unit facility															
ENVO_03501161																															hospital unit facility|nephrology unit facility															
ENVO_03501162																															hospital unit facility|neurology unit facility															
ENVO_03501163																															hospital unit facility|nutrition and dietetics unit facility															
ENVO_03501164																															hospital unit facility|occupational therapy unit facility															
ENVO_03501165																															hospital unit facility|oncology unit facility															
ENVO_03501166																															hospital unit facility|ophthalmology unit facility															
ENVO_03501167																															hospital unit facility|orthopaedics unit facility															
ENVO_03501168																															hospital unit facility|pain management unit facility															
ENVO_03501169																															hospital unit facility|pediatric unit facility															
ENVO_03501170																															intensive care unit facility|hospital unit facility|pediatric intensive care unit facility															
ENVO_03501171																												pharmacy			hospital unit facility|pharmacy unit facility					pharmacy			pharmacy							
ENVO_03501172																															hospital unit facility|physiotherapy unit facility															
ENVO_03501173																															hospital unit facility|post-anesthesia care unit facility															
ENVO_03501174																															hospital unit facility|high dependency unit facility															
ENVO_03501175																															hospital unit facility|psychiatric unit facility															
ENVO_03501176																															intensive care unit facility|hospital unit facility|psychiatric intensive care unit facility															
ENVO_03501177																															hospital unit facility|radiotherapy unit facility															
ENVO_03501178																															hospital unit facility|rheumatology unit facility															
ENVO_03501179																															hospital unit facility|urology unit facility															
ENVO_03501180																															room|patient room															
ENVO_03501181																															tertiary referral hospital															
ENVO_03501182																															facility|clinic															
ENVO_03501183																															medical clinic															
ENVO_03501184																															medical clinic|chiropractic clinic															
ENVO_03501185																															medical clinic|dental clinic															
ENVO_03501186																															medical clinic|family practice clinic															
ENVO_03501187																															medical clinic|massage therapy clinic															
ENVO_03501188																															medical clinic|ophthalmology clinic															
ENVO_03501189																															optometry clinic|medical clinic															
ENVO_03501190																															pain clinic|medical clinic															
ENVO_03501191																															physiotherapy clinic|medical clinic															
ENVO_03501192																															walk-in clinic|medical clinic															
ENVO_03501193																															pharmacy															
ENVO_03501194																															domestic building|house|human house|residential building|long-term care facility													usage of an environment for residential activity		
ENVO_03501195																															domestic building|house|human house|residential building|long-term care facility|assisted living facility													usage of an environment for residential activity		
ENVO_03501196																															domestic building|house|human house|residential building|long-term care facility|group home facility													usage of an environment for residential activity		
ENVO_03501197																															institutional building															
ENVO_03501198																															anthropogenic geographic feature|market|wet market													usage of an environment for business		
ENVO_03501199																															anthropogenic geographic feature|market|dry market													usage of an environment for business		
ENVO_03501200																															police station|institutional building															
ENVO_03501201																															polling place															
ENVO_03501202																															polling station					polling place			polling place	polling place						
ENVO_03501203																															polling booth|booth					polling place|polling station			polling place|polling station	polling place|polling station						
ENVO_03501204																															prison facility													usage of an environment for community and social services		
ENVO_03501205																															private prison|prison facility													usage of an environment for community and social services		
ENVO_03501206																												commercial building|shop			commercial building|shopping center					shop|commercial building			shop|commercial building					usage of an environment for business		
ENVO_03501207																												commercial building|shop			commercial building|shopping center|shopping mall					commercial building|shop			shop|commercial building					usage of an environment for business		
ENVO_03501208																															air vent															
ENVO_03501210																															control panel															
ENVO_03501211																															door handle															
ENVO_03501213																															light switch|switch															
ENVO_03501214																															locker															
ENVO_03501215																															nurse call button|switch															
ENVO_03501216																															stainless steel|steel															
ENVO_03501217																															paper product|tissue paper															
ENVO_03501218																															plumbing fixture|toilet bowl					toilet fixture|plumbing fixture			toilet fixture|plumbing fixture	toilet fixture|plumbing fixture						
ENVO_03501219																															window															
ENVO_03501220																															door															
ENVO_03501221																															commercial building|restaurant|bistro													usage of an environment for business		
ENVO_03501222																															commercial building|restaurant|brasserie													usage of an environment for business		
ENVO_03501224																															commercial building|restaurant|carvery													usage of an environment for business		
ENVO_03501225																															commercial building|restaurant|coffeehouse													usage of an environment for business		
ENVO_03501226																															commercial building|restaurant|greasy spoon													usage of an environment for business		
ENVO_03501227																															commercial building|restaurant|steakhouse													usage of an environment for business		
ENVO_03501228																															commercial building|restaurant|trattoria													usage of an environment for business		
ENVO_03501230																															field hospital															
ENVO_03501231																															hospice															
ENVO_03501232																															commercial building|movie theater													usage of an environment for business		
ENVO_03501233																															industrial building|warehouse													usage of an environment for industry		
ENVO_03501234																												toilet fixture|plumbing fixture|office			commercial building|town hall|office building					toilet fixture|plumbing fixture|office			toilet fixture|plumbing fixture|office					usage of an environment for business		
ENVO_03501235																															leisure centre															
ENVO_03501236		atmospheric boundary layer|boundary layer																													anthropised terrestrial environmental zone|area of developed space|business park					dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement|atmospheric boundary layer|boundary layer			dense settlement|animal-associated environment|dense settlement biome|urban biome|environment associated with an animal part or small animal|environmental system determined by an organism|human settlement	dense settlement|animal-associated environment|dense settlement biome|urban biome|environmental system determined by an organism|human settlement|environment associated with an animal part or small animal					atmospheric boundary layer|boundary layer	
ENVO_03501237																															game reserve															
ENVO_03501238																															mount|hill|hillock															
ENVO_03501239																															shore|riverfront															
ENVO_03501240																															island|skerry															
ENVO_03501241				anthropogenic generation of energy	anthropogenic generation of energy	anthropogenic generation of energy		anthropogenic generation of energy		anthropogenic generation of energy												anthropogenic generation of energy	energy								industrial building|wind farm|power plant													usage of an environment for industry		
ENVO_03501242																															island|desert island															
ENVO_03501243																															commercial building|shop|big-box store													usage of an environment for business		
ENVO_03501244																															transport feature|bridge|Bailey bridge													usage of an environment for transportation		
ENVO_03501245																															transport feature|bridge|drawbridge													usage of an environment for transportation		
ENVO_03501246																															transport feature|bridge|footbridge													usage of an environment for transportation		
ENVO_03501247																															transport feature|bridge|humpback bridge													usage of an environment for transportation		
ENVO_03501248																															transport feature|bridge|overpass													usage of an environment for transportation		
ENVO_03501249																															transport feature|bridge|suspension bridge													usage of an environment for transportation		
ENVO_03501250																															transport feature|bridge|swing bridge													usage of an environment for transportation		
ENVO_03501251																															vacuum cleaner															
ENVO_03501252																															animal manure|manure|poultry manure|chicken manure															
ENVO_03501253																															gypsum															
ENVO_03501254																															water tank															
ENVO_03501255																															anthropogenic geographic feature|water trough															
ENVO_03501256																															paper product|sheet of paper															
ENVO_03501257																															barn															
ENVO_03501258																															house|animal house|chicken house															
ENVO_03501259																															litter															
ENVO_03501260																															sewing table															
ENVO_03501261																															wheel															
ENVO_03501262																															tray															
ENVO_03501263																															hand tool															
ENVO_03501264																															hand tool|squeegee															
ENVO_03501265																												toilet fixture|plumbing fixture			room|public toilet|indoor toilet					toilet fixture|plumbing fixture			toilet fixture|plumbing fixture							
ENVO_03501266																															pump															
ENVO_03501267																															hand tool|peeler															
ENVO_03501268																															pallet															
ENVO_03501269																															packaging machine															
ENVO_03501270																															chapter house															
ENVO_03501271																															Kaaba															
ENVO_03501272																															mosque															
ENVO_03501273																															listed building															
ENVO_03501274																															domestic building|house|human house|residential building|bunkhouse													usage of an environment for residential activity		
ENVO_03501275																															commercial building|corn exchange													usage of an environment for business		
ENVO_03501276																															commercial building|oast house													usage of an environment for business		
ENVO_03501277																															orangery															
ENVO_03501278																															skyscraper															
ENVO_03501279																															domestic building|house|human house|residential building|tenement													usage of an environment for residential activity		
ENVO_03501280																															mausoleum															
ENVO_03501281																															sports facility|bowling alley													usage of an environment for recreation		
ENVO_03501282																															transport feature|hangar													usage of an environment for transportation		
ENVO_03501283																												conveyor belt component			conveyor belt					conveyor belt component			conveyor belt component							
ENVO_03501284																															dryer															
ENVO_03501285																															dryer|clothes dryer															
ENVO_03501286																															house|animal house|cow shed|calf shed															
ENVO_03501287																															house|animal house|livestock house															
ENVO_03501288																															facility															
ENVO_03501289																															hand tool|wrench															
ENVO_03501290																															commercial building|shop|supermarket|food shop													usage of an environment for business		
ENVO_03501291																															broiler															
ENVO_03501292																															tote bin															
ENVO_03501293																															tote bag															
ENVO_03501294																												industrial building			industrial building|factory|preprocessing plant					industrial building			industrial building					usage of an environment for industry		
ENVO_03501295																												industrial building			industrial building|factory|processing plant					industrial building			industrial building					usage of an environment for industry		
ENVO_03501296																												industrial building			industrial building|factory|processing plant|cheese processing plant					industrial building			industrial building					usage of an environment for industry		
ENVO_03501297																												industrial building|abattoir			industrial building|factory|processing plant|meat processing plant					industrial building|abattoir			industrial building|abattoir					usage of an environment for industry		
ENVO_03501298																															stable bandage															
ENVO_03501299																															commercial building|shop|charcuterie shop|food shop|delicatessen|grocery store													usage of an environment for business		
ENVO_03501300																															manure															
ENVO_03501301																															baseboard															
ENVO_03501302																															plant matter|cork															
ENVO_03501303																															natural-based polymer															
ENVO_03501304																															cellophane															
ENVO_03501305																															plastic|synthetic plastic|pliofilm															
ENVO_03501306																															mylar															
ENVO_03501307																															ceramic															
ENVO_03501309																															booth															
ENVO_03501310																															switch															
ENVO_03501311																															environmental monitoring area															
ENVO_03501312																															environmental monitoring area|environmental monitoring program area															
ENVO_03501313																															environmental monitoring area|environmental monitoring program area|food production environmental monitoring zone															
ENVO_03501318																															hygienic food production area															
ENVO_03501319																															hygienic food production area|food prossessing non-production area															
ENVO_03501320																															hygienic food production area|food production low-risk contamination area															
ENVO_03501321																															hygienic food production area|food production medium-risk contamination area															
ENVO_03501322																															hygienic food production area|food production high-risk contamination area															
ENVO_03501323																												domestic building|house|human house|residential building			residential environment					domestic building|house|human house|residential building			domestic building|house|human house|residential building							
ENVO_03501324																															latex															
ENVO_03501325																															vehicle|boat|watercraft|transport boat															
ENVO_03501326																															bottle															
ENVO_03501327																															hand tool|utensil															
ENVO_03501328																															fork|hand tool|utensil|eating utensil															
ENVO_03501329																															spoon|hand tool|utensil|eating utensil															
ENVO_03501330																															cup|hand tool|utensil															
ENVO_03501331																															healthcare environment															
ENVO_03501332																															occupational environment															
ENVO_03501333																												commercial building|day care building			child care environment					commercial building|day care building			day care building|commercial building							
ENVO_03501334																															child care facility															
ENVO_03501335																												commercial building|day care building			day care facility					commercial building|day care building			day care building|commercial building							
ENVO_03501336																															place of worship															
ENVO_03501337																															temple															
ENVO_03501338																															child care facility|human nursery															
ENVO_03501339																												human dwelling|domestic building			household environment					human dwelling|domestic building			human dwelling|domestic building							
ENVO_03501340																															community service centre															
ENVO_03501341																															community health centre															
ENVO_03501342																															room|dormitory					domestic building|house|human house|residential building			domestic building|house|human house|residential building	domestic building|house|human house|residential building						
ENVO_03501343																												administrative region|fiat part of an astronomical object			political entity|first nations reserve					administrative region|fiat part of an astronomical object			administrative region|fiat part of an astronomical object							
ENVO_03501344																															human dwelling|domestic building|insecure housing													usage of an environment for residential activity		
ENVO_03501345																															human dwelling|domestic building|temporary residence													usage of an environment for residential activity		
ENVO_03501346																															chopstick|hand tool|utensil|eating utensil															
ENVO_03501347																															hotel															
ENVO_03501348																															veterinary facility															
ENVO_03501349																															vehicle|aircraft|airplane															
ENVO_03501350																															physician office															
ENVO_03501351																															constructed transport system|ground transport															
ENVO_03501352																															house|animal house|animal rescue shelter															
ENVO_03501353																															hand tool|utensil|eating utensil															
ENVO_03501354																															steel															
ENVO_03501355																															public-private prison|prison facility													usage of an environment for community and social services		
ENVO_03501356																												motor			conveyor system					motor			motor							
ENVO_03501357																															manufacturing equipment															
ENVO_03501358																												manufacturing equipment			processing line					manufacturing equipment			manufacturing equipment							
ENVO_03501359																															equipment frame															
ENVO_03501360																															equipment leg					equipment frame			equipment frame	equipment frame						
ENVO_03501362																												motor|conveyor belt|conveyor belt component			belt conveyor system|conveyor system					conveyor belt|conveyor belt component|motor			conveyor belt|conveyor belt component|motor							
ENVO_03501363																															conveyor belt component															
ENVO_03501364																															manufacturing equipment|packaging equipment															
ENVO_03501365																												motor			bucket conveyor|conveyor system					motor			motor							
ENVO_03501366																												motor			screw conveyor|conveyor system					motor			motor							
ENVO_03501367																												motor			pneumatic conveyor|conveyor system					motor			motor							
ENVO_03501368																															conveyor roller															
ENVO_03501369																															seam surface															
ENVO_03501370																															stagnant water															
ENVO_03510000																															dust|wood dust															
ENVO_03510001																															brake fluid|hydraulic fluid															
ENVO_03510002																															automatic transmission fluid															
ENVO_03510004																															hydraulic fluid															
ENVO_03510005																															motor oil															
ENVO_03510006																															oil|petroleum|hydrocarbon-based environmental material|diesel fuel															
ENVO_03510007																															oil|petroleum|hydrocarbon-based environmental material|gasoline															
ENVO_03510008															oil|petroleum|hydrocarbon-based environmental material|diesel fuel	oil|petroleum|hydrocarbon-based environmental material|diesel fuel															diesel exhaust															
ENVO_03510009															oil|petroleum|hydrocarbon-based environmental material|gasoline	oil|petroleum|hydrocarbon-based environmental material|gasoline															gasoline exhaust															
ENVO_03510010																															dye															
ENVO_03510011																															dye|leather dye															
ENVO_03510012																															dye|paper dye															
ENVO_03510013																															dye|textile dye															
ENVO_03510014																															India ink															
ENVO_03510015																															xanthan gum															
ENVO_03510016																															tragacanth															
ENVO_03510017																															fountain pen ink															
ENVO_03510018																															resin															
ENVO_03510019																															chemical product|cleaning agent															
ENVO_03510020																															chemical product|cleaning agent|degreaser															
ENVO_03510021																															varnish															
ENVO_03510022																															varnish|resin (gum) varnish															
ENVO_03510023																															shellac															
ENVO_03510024																															chemical product|lacquer															
ENVO_03510025																															chemical product|paint thinner															
ENVO_03510026																															chemical product|paint thinner|acrylic paint medium															
ENVO_03510027																															chemical product|paint thinner|enamel thinner															
ENVO_03510028																															chemical product|paint thinner|oil paint thinner															
ENVO_03510029																															paint|primer (paint)															
ENVO_03510030																															vitreous enamel															
ENVO_03510031																															paint|oil-based paint															
ENVO_03510032																															paint|acrylic paint															
ENVO_03510033																															luminescent paint|paint															
ENVO_03510034																															turpentine															
ENVO_03510035																															naphtha															
ENVO_03510036																															dust|rock dust															
ENVO_03510037																															radioactive material															
ENVO_03510038			glue																					glue		glue					volume of cyanoacrylate															
ENVO_03510040																															chemical product|stain															
ENVO_03510041																															chemical product|stain|wood stain															
ENVO_03510055			glue																					glue		glue					hydrocarbon-based environmental material|rubber cement															
ENVO_03510056			glue																					glue		glue					methyl cellulose paste															
ENVO_03510057			chemical colorant																					chemical colorant		chemical colorant					permanent hair dye															
ENVO_03510058			chemical colorant																					chemical colorant		chemical colorant					pharmaceutical ink|colorant fluid															
ENVO_03510060			chemical colorant																					chemical colorant		chemical colorant					gel ink|colorant fluid															
ENVO_03510061			chemical colorant																					chemical colorant		chemical colorant		resin|wax			soy ink|colorant fluid					resin|wax			resin|wax							
ENVO_03510062			chemical colorant																					chemical colorant		chemical colorant		dye			aqueous inkjet printer ink|colorant fluid					dye			dye							
ENVO_03510064															oil|petroleum|hydrocarbon-based environmental material	oil|petroleum|hydrocarbon-based environmental material						thermolysis|aerosol formation process|combustion process									emissions from petroleum combustion							thermolysis|aerosol formation process|combustion process						thermolysis|aerosol formation process|combustion process		
ENVO_03510065			chemical colorant																					chemical colorant		chemical colorant					colorant fluid															
ENVO_03510070			waste role																					waste role						waste role	waste material|toxic waste															
ENVO_03520000		middle atmospheric level																										atmospheric boundary layer|boundary layer			low atmospheric level					troposphere|atmospheric boundary layer|boundary layer|middle atmospheric level			troposphere|atmospheric boundary layer|boundary layer	troposphere					middle atmospheric level	
ENVO_03520001		low atmospheric level|high atmospheric level																													middle atmospheric level					troposphere|low atmospheric level|high atmospheric level			troposphere	troposphere					low atmospheric level|high atmospheric level	
ENVO_03520002		stratosphere|middle atmospheric level																													high atmospheric level					stratosphere|troposphere|middle atmospheric level			troposphere	troposphere					stratosphere|middle atmospheric level	
ENVO_03520003																															cloud part					meteor|cloud			meteor|cloud	meteor|cloud						
ENVO_03520004																															cloud part|cloud base					meteor|cloud			meteor|cloud	meteor|cloud						
ENVO_03520005																															cloud part|cloud top					meteor|cloud			meteor|cloud	meteor|cloud						
ENVO_03520007																															water ice crystal|crystal|snow crystal															
ENVO_03600000																															cleanroom															
ENVO_03600001																															chemically enriched sediment|chemically contaminated sediment															
ENVO_03600002																															cooling water													water cooling		
ENVO_03600003																				drinking water											pipeline network|drinking water pipeline network															
ENVO_03600004																															industrial building|drinking water treatment plant													usage of an environment for industry		
ENVO_03600005																															electrical switch															
ENVO_03600006			waste role																					waste role						waste role	waste material|food waste															
ENVO_03600007																															formation fluid															
ENVO_03600008																															intensive care unit															
ENVO_03600009																															interstitial water															
ENVO_03600010																															bioreactor|membrane bioreactor|biomaterial containment unit															
ENVO_03600011																															soil horizon|mineral horizon															
ENVO_03600012																				oil|hydrocarbon-based environmental material											oil pipeline network|pipeline network															
ENVO_03600013																															bituminous sand															
ENVO_03600014																															pipeline network															
ENVO_03600015		bank|stream bank|river bank												stream channel|river channel																	river|polluted river					bank|stream channel|river channel|stream bank|river bank									bank|stream bank|river bank	
ENVO_03600016																															saprolite															
ENVO_03600017																															slurry															
ENVO_03600018											soil organic matter																	soil organic matter			organic horizon|soil horizon					soil organic matter			soil organic matter							
ENVO_03600019																															sugarcane vinasse|vinasse															
ENVO_03600020																															tailings dam|earth-filled dam|embankment dam|dam|constructed barrier															
